#separator:semicolon
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:4
5bd92c71-c20e-42e0-bbc2-c6bb761fb7f7;Basic;Math::Algebra;Math Algebra Identity;<p>Quadratic formula</p>;"<p>If</p>


\[ a x^2 + b x + c = 0 \]

<p>then</p>


\[ x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a} \]"
1f854f7f-eefe-490b-b6fe-c79cf729b4c6;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos \alpha + \cos \beta \];\[ 2 \cos \left( \frac{\alpha + \beta}{2} \right) \cos \left( \frac{\alpha - \beta}{2} \right) \]
3f74ae49-26be-44af-b320-43e97a5df59b;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos \alpha - \cos \beta \];\[ 2 \sin \left( \frac{\alpha + \beta}{2} \right) \sin \left( \frac{\alpha - \beta}{2} \right) \]
f0fe1221-7652-4146-bda0-b5c89bd18c8d;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ \sinh x \]
<p>The definition of</p>";\[ \frac{e^{x} - e^{-x}}{2} \]
c03b5eb3-ef5a-47de-87d7-dc083b3f3ed6;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ \cosh x \]
<p>The definition of</p>";\[ \frac{e^{x} + e^{-x}}{2} \]
b76f8f39-1907-4817-969e-7d26614b6af9;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ \tanh x \]
<p>The definition of</p>";\[ \frac{\sinh x}{\cosh x} = \frac{e^{x} - e^{-x}}{e^{x} + e^{-x}} \]
1366c8bc-2b6c-43bf-912a-8c7807b33049;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ e^{x} = \ldots \]
<p>Hyperbolic identity</p>";\[ \cosh x + \sinh x \]
7500ce37-3508-47d6-95c2-9f8aaf0474a2;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ e^{-x} = \ldots \]
<p>Hyperbolic identity</p>";\[ \cosh x - \sinh x \]
4f8750dc-645c-43f7-b62e-3fac49a2b9b3;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ 1 = \ldots \]
<p>Hyperbolic identity</p>";\[ \cosh^2 x - \sinh^2 x \]
a608ae39-3619-4f06-98b2-50d0dc55e91d;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ \sin x = \ldots \]
<p>Express as a hyperbolic function</p>";\[ -i \sinh(ix) = \frac{e^{ix} - e^{-ix}}{2i} \]
446a7b80-f983-481e-866e-07bd3b9841b0;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ \sinh x = \ldots \]
<p>Express as a trigonometric function</p>";\[ -i \sin(ix) = \frac{e^{x} - e^{-x}}{2} \]
f0d785e5-9f17-45e3-97b3-3ea6d54d867d;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ \cos x = \ldots \]
<p>Express as a hyperbolic function</p>";\[ \cosh(ix) = \frac{e^{ix} + e^{-ix}}{2} \]
d20d08e4-0d63-4f72-a59c-dc8435f99ea3;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"\[ \cosh x = \ldots \]
<p>Express as a trigonometric function</p>";\[ \cos(ix) = \frac{e^{x} + e^{-x}}{2} \]
f2eeba1c-39cf-4771-b4a7-5337a4225b7d;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"<p>Euler&#39;s formula</p>";"\[
\begin{align*}
    e^{ix} &= \cos x + i \sin x \\
    e^{-ix} &= \cos x - i \sin x
\end{align*}
\]"
65efe777-8b72-42d5-9b47-7d9566c23b52;Basic;Math::Trigonometry;Math Trigonometric Hyperbolic Identity;"<p>De Moivre&#39;s formula</p>";"\[
\begin{align*}
    \left( \cos(x) + i \sin(x) \right)^n &= \cos(nx) + i \sin(nx) \\
    \left( \cosh(x) + i \sinh(x) \right)^n &= \cosh(nx) + i \sinh(nx)
\end{align*}
\]"
e9e0d7ec-b982-4bfe-968a-62bece71e5b2;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( f(x) g(x) \right) \];\[ f'(x) g(x) + f(x) g'(x) \]
10ea3e4e-0837-4eb7-ac2c-d7939d41ec9e;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( \frac{f(x)}{g(x)} \right) \];\[ \frac{f'(x) g(x) - f(x) g'(x)}{(g(x)^2)} \]
8c36a710-5152-459e-aa8d-d17ee1f5780c;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( x^n \right) \];\[ nx^{n-1} \]
7a3c2fd7-6fea-482d-8a2c-c7e02b56cc58;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( \sqrt{x} \right) \];\[ \frac{1}{2 \sqrt{x}} \]
20b545c9-64c1-437e-9699-95656eef1ce6;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( e^x \right) \];\[ e^x \]
88e365f5-7197-4027-938a-d8e6c25d59eb;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( a^x \right) \];\[ a^x \ln a \]
d908fbe0-8ffd-4ede-a523-1a27f5c17a6e;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( \ln x \right) \];\[ \frac{1}{x} \]
44510897-1944-4bce-8176-a0695016702e;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Identity Derivative;\[ \frac{d}{dx} \left( \log_b x \right) \];\[ \frac{1}{x \ln b} \]
8e66781a-c572-408c-b92c-7d8bd6316c56;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \sin x ) \];"\[ \cos x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin x ) &= \cos x \\
    \frac{d}{dx} ( \cos x ) &= - \sin x \\
    \frac{d}{dx} ( \sinh x ) &= \cosh x \\
    \frac{d}{dx} ( \cosh x ) &= \sinh x
\end{align*}
\]"
234ac8b4-f6d9-49d3-81e2-a91647c3042a;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \cos x ) \];"\[ - \sin x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin x ) &= \cos x \\
    \frac{d}{dx} ( \cos x ) &= - \sin x \\
    \frac{d}{dx} ( \sinh x ) &= \cosh x \\
    \frac{d}{dx} ( \cosh x ) &= \sinh x
\end{align*}
\]"
ab19592b-6cf5-4421-8602-4a446ef8b799;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \tan x ) \];"\[ \sec^2 x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \tan x ) &= \sec^2 x \\
    \frac{d}{dx} ( \cot x ) &= - \csc^2 x \\
    \frac{d}{dx} ( \tanh x ) &= \text{sech}^2 \, x \\
    \frac{d}{dx} ( \coth x ) &= - \text{csch}^2 \, x
\end{align*}
\]"
adc20ba9-525b-4933-8b7e-252085766218;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \cot x ) \];"\[ - \csc^2 x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \tan x ) &= \sec^2 x \\
    \frac{d}{dx} ( \cot x ) &= - \csc^2 x \\
    \frac{d}{dx} ( \tanh x ) &= \text{sech}^2 \, x \\
    \frac{d}{dx} ( \coth x ) &= - \text{csch}^2 \, x
\end{align*}
\]"
fc9e5514-e0a6-4425-bb13-e77551d4a503;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \sec x ) \];"\[ \sec x \tan x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sec x ) &= \sec x \tan x \\
    \frac{d}{dx} ( \csc x ) &= - \csc x \cot x \\
    \frac{d}{dx} ( \text{sech} \, x ) &= - \text{sech} \, x \tanh x \\
    \frac{d}{dx} ( \text{csch} \, x ) &= - \text{csch} \, x \coth x
\end{align*}
\]"
77a13a66-5599-4df6-9baa-ef5538e24078;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \csc x ) \];"\[ - \csc x \cot x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sec x ) &= \sec x \tan x \\
    \frac{d}{dx} ( \csc x ) &= - \csc x \cot x \\
    \frac{d}{dx} ( \text{sech} \, x ) &= - \text{sech} \, x \tanh x \\
    \frac{d}{dx} ( \text{csch} \, x ) &= - \text{csch} \, x \coth x
\end{align*}
\]"
b8ef42b1-346b-4d72-abf5-ef52983b9118;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \sin^{-1} x ) \];"\[ \frac{1}{\sqrt{1 - x^2}} \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin^{-1} x ) &= \frac{1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \cos^{-1} x ) &= \frac{-1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \sinh^{-1} x ) &= \frac{1}{\sqrt{x^2 + 1}} \\
    \frac{d}{dx} ( \cosh^{-1} x ) &= \frac{1}{\sqrt{x^2 - 1}}, \quad (x > 1)
\end{align*}
\]"
f019416a-f621-4344-9a9b-41d2e5d09249;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \cos^{-1} x ) \];"\[ \frac{-1}{\sqrt{1 - x^2}} \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin^{-1} x ) &= \frac{1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \cos^{-1} x ) &= \frac{-1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \sinh^{-1} x ) &= \frac{1}{\sqrt{x^2 + 1}} \\
    \frac{d}{dx} ( \cosh^{-1} x ) &= \frac{1}{\sqrt{x^2 - 1}}, \quad (x > 1)
\end{align*}
\]"
00de7e5f-34f2-468b-9fa4-6e5709722f74;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \tan^{-1} x ) \];"\[ \frac{1}{1 + x^2} \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \tan^{-1} x ) &= \frac{1}{1 + x^2} \\
    \frac{d}{dx} ( \cot^{-1} x ) &= \frac{-1}{1 + x^2} \\
    \frac{d}{dx} ( \tanh^{-1} x ) &= \frac{1}{1 - x^2}, \quad (|x| < 1) \\
    \frac{d}{dx} ( \coth^{-1} x ) &= \frac{1}{1 - x^2}, \quad (|x| > 1)
\end{align*}
\]"
e0c32a32-a2ef-4b6b-bae5-3b31a855ffd9;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \cot^{-1} x ) \];"\[ \frac{-1}{1 + x^2} \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \tan^{-1} x ) &= \frac{1}{1 + x^2} \\
    \frac{d}{dx} ( \cot^{-1} x ) &= \frac{-1}{1 + x^2} \\
    \frac{d}{dx} ( \tanh^{-1} x ) &= \frac{1}{1 - x^2}, \quad (|x| < 1) \\
    \frac{d}{dx} ( \coth^{-1} x ) &= \frac{1}{1 - x^2}, \quad (|x| > 1)
\end{align*}
\]"
c0599645-f16c-41c4-a84a-176a96387794;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \sec^{-1} x ) \];"\[ \frac{1}{|x| \sqrt{x^2 - 1}} \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sec^{-1} x ) &= \frac{1}{|x| \sqrt{x^2 - 1}} \\
    \frac{d}{dx} ( \csc^{-1} x ) &= \frac{-1}{|x| \sqrt{x^2 - 1}} \\
    \frac{d}{dx} ( \text{sech}^{-1} \, x ) &= \frac{-1}{x \sqrt{1 - x^2}}, \quad (0 < x < 1) \\
    \frac{d}{dx} ( \text{csch}^{-1} \, x ) &= \frac{-1}{|x| \sqrt{1 + x^2}}, \quad (x \neq 0)
\end{align*}
\]"
af922d06-2efd-45d6-a539-ae7b45c50222;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Trigonometric Identity;\[ \frac{d}{dx} ( \csc^{-1} x ) \];"\[ \frac{-1}{|x| \sqrt{x^2 - 1}} \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sec^{-1} x ) &= \frac{1}{|x| \sqrt{x^2 - 1}} \\
    \frac{d}{dx} ( \csc^{-1} x ) &= \frac{-1}{|x| \sqrt{x^2 - 1}} \\
    \frac{d}{dx} ( \text{sech}^{-1} \, x ) &= \frac{-1}{x \sqrt{1 - x^2}}, \quad (0 < x < 1) \\
    \frac{d}{dx} ( \text{csch}^{-1} \, x ) &= \frac{-1}{|x| \sqrt{1 + x^2}}, \quad (x \neq 0)
\end{align*}
\]"
d6c570ff-6074-4a17-85e4-d6839fc9bf16;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \sinh ) x \];"\[ \cosh x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin x ) &= \cos x \\
    \frac{d}{dx} ( \cos x ) &= - \sin x \\
    \frac{d}{dx} ( \sinh x ) &= \cosh x \\
    \frac{d}{dx} ( \cosh x ) &= \sinh x
\end{align*}
\]"
0ef4ab32-1bb0-44fe-ad4d-6212d727acb1;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \cosh ) x \];"\[ \sinh x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin x ) &= \cos x \\
    \frac{d}{dx} ( \cos x ) &= - \sin x \\
    \frac{d}{dx} ( \sinh x ) &= \cosh x \\
    \frac{d}{dx} ( \cosh x ) &= \sinh x
\end{align*}
\]"
7224cae0-60bc-41d4-a407-2b1f766e0371;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \tanh x ) \];"\[ \text{sech}^2 \, x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \tan x ) &= \sec^2 x \\
    \frac{d}{dx} ( \cot x ) &= - \csc^2 x \\
    \frac{d}{dx} ( \tanh x ) &= \text{sech}^2 \, x \\
    \frac{d}{dx} ( \coth x ) &= - \text{csch}^2 \, x
\end{align*}
\]"
159d441e-3514-44cf-9d46-52cd6b86605c;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \coth x ) \];"\[ - \text{csch}^2 \, x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \tan x ) &= \sec^2 x \\
    \frac{d}{dx} ( \cot x ) &= - \csc^2 x \\
    \frac{d}{dx} ( \tanh x ) &= \text{sech}^2 \, x \\
    \frac{d}{dx} ( \coth x ) &= - \text{csch}^2 \, x
\end{align*}
\]"
e90f3b21-07ae-434a-9b87-e1e2b924e036;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \text{sech} \, x ) \];"\[ - \text{sech} \, x \tanh x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sec x ) &= \sec x \tan x \\
    \frac{d}{dx} ( \csc x ) &= - \csc x \cot x \\
    \frac{d}{dx} ( \text{sech} \, x ) &= - \text{sech} \, x \tanh x \\
    \frac{d}{dx} ( \text{csch} \, x ) &= - \text{csch} \, x \coth x
\end{align*}
\]"
64ba1d36-2c06-47f2-a398-69c44fe1d176;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \text{csch} \, x ) \];"\[ - \text{csch} \, x \coth x \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sec x ) &= \sec x \tan x \\
    \frac{d}{dx} ( \csc x ) &= - \csc x \cot x \\
    \frac{d}{dx} ( \text{sech} \, x ) &= - \text{sech} \, x \tanh x \\
    \frac{d}{dx} ( \text{csch} \, x ) &= - \text{csch} \, x \coth x
\end{align*}
\]"
0b419e22-05b1-46ec-915c-bacd5719f0d7;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \sinh^{-1} x ) \];"\[ \frac{1}{\sqrt{x^2 + 1}} \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin^{-1} x ) &= \frac{1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \cos^{-1} x ) &= \frac{-1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \sinh^{-1} x ) &= \frac{1}{\sqrt{x^2 + 1}} \\
    \frac{d}{dx} ( \cosh^{-1} x ) &= \frac{1}{\sqrt{x^2 - 1}}, \quad (x > 1)
\end{align*}
\]"
694fb729-173d-4e1d-bf79-8b471e757621;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \cosh^{-1} x ) \];"\[ \frac{1}{\sqrt{x^2 - 1}}, \quad (x > 1) \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \sin^{-1} x ) &= \frac{1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \cos^{-1} x ) &= \frac{-1}{\sqrt{1 - x^2}} \\
    \frac{d}{dx} ( \sinh^{-1} x ) &= \frac{1}{\sqrt{x^2 + 1}} \\
    \frac{d}{dx} ( \cosh^{-1} x ) &= \frac{1}{\sqrt{x^2 - 1}}, \quad (x > 1)
\end{align*}
\]"
9f86d49b-6eee-4c7f-b925-562a1c0d024a;Basic;Math::Calculus::Identities::Derivatives;Math Calculus Derivative Hyperbolic Identity;\[ \frac{d}{dx} ( \tanh^{-1} x ) \];"\[ \frac{1}{1 - x^2}, \quad (|x| < 1) \]

<p>Related:</p>


\[
\begin{align*}
    \frac{d}{dx} ( \tan^{-1} x ) &= \frac{1}{1 + x^2} \\
    \frac{d}{dx} ( \cot^{-1} x ) &= \frac{-1}{1 + x^2} \\
    \frac{d}{dx} ( \tanh^{-1} x ) &= \frac{1}{1 - x^2}, \quad (|x| < 1) \\
    \frac{d}{dx} ( \coth^{-1} x ) &= \frac{1}{1 - x^2}, \quad (|x| > 1)
\end{align*}
\]"
